id,title,company,city,salary,education,experience,job_type,skills,benefits,description,requirements,publish_date,contact_person,phone,email,address,source,status,views,applications
2945,重症护理员,养老服务公司275,厦门,12000-15000元/月,高中,1年以下,实习,体位护理、康复护理、营养配餐,节日福利、加班费,招聘重症护理员，工作地点在厦门，要求身体健康，有爱心，能吃苦耐劳。,学历要求：本科；技能要求：医疗护理、体位护理、心理护理、责任心强、伤口护理、吃苦耐劳、血压测量、急救技能；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-05,梁云,14700351653,qiang40@example.net,辽宁省晨县高港沈阳街O座 430637,51job,已暂停,962,41
2946,重症护理员,健康管理公司526,上海,10000-12000元/月,大专,不限,夜班,鼻饲护理、翻身护理、责任心强、体位护理,住宿补贴、培训机会、包吃包住、晋升空间,在健康管理公司526担任重症护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：耐心细心、责任心强、血压测量、药物管理、吃苦耐劳、安全防护、伤口护理；学历要求：大专；年龄要求：27岁以下,2025-09-09,沈玉华,15590650898,gang92@example.org,江苏省西宁县长寿重庆路R座 610676,拉勾网,已暂停,478,19
2947,养老护理员,养老服务公司463,济南,4108元/月,初中,10年以上,夜班,身体健康、无传染病、耐心细心、生活护理、基础护理、营养配餐,年终奖、加班费、培训机会,在养老服务公司463担任养老护理员，负责日常护理工作，具备良好的沟通能力和责任心。,学历要求：护理专业优先；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：营养配餐、翻身护理、基础护理；性别要求：不限；年龄要求：18岁以下；工作经验：1年以下,2025-09-15,申凤兰,13327360918,xuexiulan@example.com,河北省南京县长寿哈尔滨路y座 899416,51job,已暂停,960,35
2948,护理助理,社区卫生服务中心831,西安,15000-20000元/月,大专,不限,长期,康复护理、医疗护理、导尿护理,健康体检、晋升空间、年终奖,招聘护理助理，工作地点在西安，要求身体健康，有爱心，能吃苦耐劳。,其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：10年以上；技能要求：药物管理、伤口护理、吃苦耐劳、心理护理、安全防护、按摩技能,2025-09-16,张红霞,13756418838,weizhang@example.com,北京市齐齐哈尔市沙湾王街Y座 152812,51job,已暂停,964,36
2949,康复护理员,专业护理机构606,广州,8000-10000元/月,大专,5-10年,夜班,伤口护理、按摩技能、鼻饲护理、沟通技巧、翻身护理、药物管理,意外保险、餐补、交通补贴、节日福利,需要康复护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：女；年龄要求：24岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1年以下；学历要求：本科,2025-08-29,范磊,14755559544,plu@example.org,新疆维吾尔自治区佳县梁平兰州街n座 801202,猎聘网,招聘中,377,39
2950,病患护理员,康复中心444,乌鲁木齐,6000-8000元/月,不限,5-10年,临时,耐心细心、翻身护理、体位护理、吃苦耐劳、导尿护理、按摩技能、伤口护理、责任心强,餐补、绩效奖金、年终奖、培训机会、健康体检、包吃包住,招聘病患护理员，工作地点在乌鲁木齐，要求身体健康，有爱心，能吃苦耐劳。,性别要求：男；学历要求：护理专业优先；工作经验：1年以下,2025-09-03,黎萍,13254566761,iyao@example.net,澳门特别行政区南宁市长寿李路I座 251321,拉勾网,已暂停,401,28
2951,医疗护理员,康复中心716,广州,4380元/月,大专,5-10年,白班,身体健康、翻身护理、按摩技能、体位护理,住宿补贴、带薪年假、交通补贴,在康复中心716担任医疗护理员，负责日常护理工作，具备良好的沟通能力和责任心。,其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：伤口护理、康复护理、责任心强；工作经验：1年以下；性别要求：不限,2025-08-30,蔡倩,15078946542,tao19@example.com,重庆市东莞县长寿宣路N座 335663,拉勾网,已结束,811,0
2952,专业护理员,社区卫生服务中心239,沈阳,10000-12000元/月,中专,1-3年,实习,医疗护理、耐心细心、翻身护理、营养配餐,住宿补贴、加班费、晋升空间、意外保险、带薪年假,需要专业护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,学历要求：中专；工作经验：1年以下；性别要求：女；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-02,许晶,18653342499,funa@example.net,上海市长春市丰都香港路N座 618684,Boss直聘,已暂停,413,11
2953,重症护理员,医院15,广州,20000-25000元/月,高中,1-3年,夜班,急救技能、心理护理、血糖监测,住宿补贴、包吃包住、加班费、带薪年假、交通补贴、生日福利,招聘重症护理员，工作地点在广州，要求身体健康，有爱心，能吃苦耐劳。,年龄要求：28岁以下；技能要求：血糖监测、按摩技能、体位护理、康复护理、安全防护、鼻饲护理；学历要求：初中；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1年以下,2025-09-13,班涛,15036090611,ypan@example.org,海南省海燕市闵行佛山街b座 228532,拉勾网,已结束,966,49
2954,术后护理员,家政服务公司335,上海,9270元/月,初中,10年以上,长期,心理护理、血压测量、吃苦耐劳、生活护理,住宿补贴、包吃包住、健康体检、带薪年假,为术后护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,技能要求：伤口护理、耐心细心、医疗护理、药物管理、翻身护理；年龄要求：56岁以下；工作经验：3-5年；学历要求：本科,2025-09-01,李雪,15839967697,kchen@example.org,重庆市杰县淄川西宁街j座 852935,拉勾网,招聘中,646,4
2955,医疗护理员,健康管理公司779,西宁,2431元/月,不限,1-3年,兼职,伤口护理、基础护理、体位护理、有爱心,意外保险、包吃包住、餐补、晋升空间、五险一金、加班费,负责医疗护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：心理护理、吸痰护理、血压测量、血糖监测、翻身护理、药物管理；性别要求：不限；工作经验：3-5年；学历要求：大专；年龄要求：25岁以下,2025-09-06,周琴,15262852372,yangyan@example.com,广西壮族自治区兰州县高明曹街F座 249140,拉勾网,已暂停,227,36
2956,病患护理员,养老服务公司878,沈阳,20000-25000元/月,本科,10年以上,长期,按摩技能、血糖监测、血压测量、康复护理、身体健康,意外保险、包吃包住、晋升空间、生日福利、培训机会、年终奖,招聘病患护理员，工作地点在沈阳，要求身体健康，有爱心，能吃苦耐劳。,性别要求：女；技能要求：吃苦耐劳、按摩技能、翻身护理、安全防护；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：高中；工作经验：不限,2025-09-02,邓斌,18187510949,juan29@example.com,陕西省关岭市白云哈尔滨路R座 886675,51job,招聘中,238,4
2957,家庭护理员,健康产业公司718,温州,10000-12000元/月,本科,3-5年,临时,按摩技能、翻身护理、体位护理,晋升空间、住宿补贴、意外保险,在健康产业公司718担任家庭护理员，负责日常护理工作，具备良好的沟通能力和责任心。,年龄要求：27岁以下；性别要求：男；学历要求：护理专业优先；技能要求：鼻饲护理、吸痰护理、安全防护、血压测量、导尿护理；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1-3年,2025-09-15,陈建军,15157003346,chao85@example.net,北京市金凤县华龙王街w座 453799,51job,已暂停,418,19
2958,居家护理员,医院806,兰州,12000-15000元/月,护理专业优先,3-5年,短期,血糖监测、翻身护理、耐心细心、安全防护、按摩技能、有爱心、血压测量、医疗护理,晋升空间、绩效奖金、年终奖,招聘居家护理员，工作地点在兰州，要求身体健康，有爱心，能吃苦耐劳。,工作经验：1-3年；学历要求：初中；技能要求：无传染病、血糖监测、体位护理、导尿护理、营养配餐、康复护理,2025-08-30,詹帅,18822017496,gfang@example.com,安徽省鑫市友好阜新街u座 163010,拉勾网,已暂停,317,6
2959,专业护理员,护理站515,苏州,10000-12000元/月,高中,3-5年,长期,按摩技能、有爱心、鼻饲护理、无传染病、生活护理、医疗护理、急救技能、血糖监测,带薪年假、年终奖,招聘专业护理员，工作地点在苏州，要求身体健康，有爱心，能吃苦耐劳。,性别要求：男；年龄要求：41岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1-3年；学历要求：本科,2025-08-20,王阳,15023564813,yan57@example.com,山西省通辽市双滦刘路p座 897851,猎聘网,已结束,699,11
2960,高级护理员,养老服务公司172,南宁,5000-6000元/月,不限,1年以下,短期,康复护理、耐心细心、血压测量、安全防护、鼻饲护理、身体健康,培训机会、住宿补贴、带薪年假、生日福利,需要高级护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,工作经验：5-10年；技能要求：翻身护理、急救技能、营养配餐、安全防护、身体健康、血压测量；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女；学历要求：不限；年龄要求：43岁以下,2025-09-14,熊艳,13192595014,minhan@example.net,青海省杰县长寿马鞍山路k座 925919,51job,招聘中,852,29
2961,护工,医疗护理公司728,上海,20000-25000元/月,初中,10年以上,长期,鼻饲护理、药物管理、吃苦耐劳、心理护理、耐心细心、无传染病,餐补、年终奖、晋升空间、生日福利、培训机会,需要护工，负责照顾患者日常生活，协助医疗护理，提供专业服务。,年龄要求：30岁以下；工作经验：10年以上；学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：伤口护理、鼻饲护理、基础护理、医疗护理,2025-09-04,刘俊,18720159463,ifeng@example.org,广西壮族自治区亮县静安南昌路l座 191378,智联招聘,已暂停,100,46
2962,家庭护理员,家政服务公司177,南昌,3373元/月,大专,3-5年,实习,生活护理、伤口护理、药物管理、翻身护理、有爱心、安全防护,加班费、意外保险、五险一金、交通补贴、培训机会,招聘家庭护理员，工作地点在南昌，要求身体健康，有爱心，能吃苦耐劳。,工作经验：1-3年；学历要求：中专；性别要求：女,2025-08-20,宗静,13247228821,junkang@example.net,浙江省丽娟县西峰刘路F座 282806,拉勾网,招聘中,467,10
2963,专业护理员,社区卫生服务中心628,呼和浩特,4000-5000元/月,初中,5-10年,兼职,沟通技巧、安全防护、责任心强、伤口护理、营养配餐、吃苦耐劳、身体健康、急救技能,生日福利、健康体检、晋升空间、交通补贴、加班费、意外保险,为专业护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：吃苦耐劳、药物管理、鼻饲护理、康复护理、翻身护理；学历要求：初中；年龄要求：34岁以下；性别要求：不限；工作经验：1年以下,2025-08-27,董桂香,18968961626,yangchang@example.net,陕西省娟市秀英孙街H座 960093,51job,招聘中,821,24
2964,残疾人护理员,医疗集团389,兰州,3000-4000元/月,初中,5-10年,短期,耐心细心、医疗护理、血糖监测、吃苦耐劳、药物管理,住宿补贴、生日福利,负责残疾人护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女；年龄要求：44岁以下,2025-09-07,严秀珍,15982439480,guiying04@example.org,江西省宜都市清河梧州路u座 368475,拉勾网,招聘中,666,50
2965,养老护理员,社区卫生服务中心442,郑州,25000-30000元/月,护理专业优先,1-3年,长期,导尿护理、医疗护理、营养配餐、安全防护、血糖监测,带薪年假、年终奖,负责养老护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,技能要求：导尿护理、安全防护、无传染病、有爱心；工作经验：不限；学历要求：大专；年龄要求：55岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：男,2025-09-11,王雪,15370226119,chengtao@example.net,重庆市长春县秀英东莞街L座 324923,拉勾网,招聘中,851,0
2966,高级护理员,养老院171,沈阳,12000-15000元/月,高中,1年以下,长期,营养配餐、基础护理、有爱心、伤口护理、吸痰护理、体位护理、药物管理,节日福利、餐补、生日福利,招聘高级护理员，工作地点在沈阳，要求身体健康，有爱心，能吃苦耐劳。,技能要求：血糖监测、按摩技能、身体健康、血压测量、吸痰护理、基础护理；学历要求：中专；性别要求：不限；工作经验：3-5年；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：35岁以下,2025-08-26,张凤兰,15733689785,liangxia@example.net,海南省哈尔滨市黄浦柴路n座 878731,智联招聘,招聘中,635,24
2967,护理员,健康管理公司310,呼和浩特,12439元/月,不限,10年以上,长期,身体健康、药物管理、营养配餐、生活护理、吃苦耐劳、康复护理,晋升空间、加班费、餐补,为护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：本科；工作经验：5-10年,2025-09-04,胡冬梅,15792477130,gang28@example.org,重庆市丹县崇文惠州路Z座 736526,Boss直聘,已结束,24,21
2968,医院护理员,养老院311,昆明,27808元/月,不限,1年以下,实习,基础护理、血压测量、无传染病、医疗护理、药物管理、急救技能,培训机会、交通补贴、加班费、绩效奖金、住宿补贴,在养老院311担任医院护理员，负责日常护理工作，具备良好的沟通能力和责任心。,学历要求：本科；年龄要求：19岁以下；工作经验：1-3年；技能要求：血压测量、有爱心、吃苦耐劳、沟通技巧、药物管理、鼻饲护理、生活护理、导尿护理；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女,2025-08-23,周秀华,15046167605,li07@example.net,江西省欢市黄浦张街b座 849592,拉勾网,招聘中,894,14
2969,残疾人护理员,社区卫生服务中心537,武汉,25000-30000元/月,不限,3-5年,实习,有爱心、安全防护、耐心细心、伤口护理,培训机会、餐补、加班费,为残疾人护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：大专；工作经验：10年以上；年龄要求：27岁以下,2025-09-09,李琴,15917255905,pyu@example.com,天津市淑兰市东城南京路U座 175516,Boss直聘,招聘中,578,8
2970,家庭护理员,健康管理公司574,南昌,12000-15000元/月,本科,3-5年,短期,伤口护理、吃苦耐劳、医疗护理、康复护理、血压测量,住宿补贴、加班费,负责家庭护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,学历要求：本科；技能要求：伤口护理、营养配餐、血糖监测、鼻饲护理、吸痰护理、基础护理、医疗护理、生活护理；性别要求：女,2025-09-15,刘丹,18213964532,yan43@example.com,四川省玉华县涪城佛山路l座 220163,51job,已结束,488,34
2971,老年护理员,养老院555,无锡,26012元/月,本科,不限,长期,血压测量、鼻饲护理、伤口护理、导尿护理,五险一金、住宿补贴、节日福利、加班费、晋升空间、绩效奖金,为老年护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：护理专业优先；年龄要求：21岁以下；工作经验：不限,2025-08-21,韦健,15716466041,min34@example.com,宁夏回族自治区上海市黄浦李路Z座 535149,51job,招聘中,945,27
2972,护理师,养老服务公司773,重庆,12411元/月,护理专业优先,不限,实习,吃苦耐劳、体位护理、有爱心、血压测量、伤口护理、基础护理、急救技能、营养配餐,绩效奖金、节日福利、生日福利、餐补、意外保险、加班费,为护理师岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：50岁以下；技能要求：按摩技能、鼻饲护理、血糖监测、责任心强、血压测量、医疗护理、安全防护、康复护理；学历要求：初中；工作经验：10年以上,2025-09-01,龚桂香,15201744157,ming18@example.net,甘肃省重庆市金平合山路w座 687648,智联招聘,已暂停,125,17
2973,护理助理,专业护理机构575,银川,20000-25000元/月,中专,1年以下,兼职,吸痰护理、责任心强、基础护理、沟通技巧、鼻饲护理、医疗护理、耐心细心,加班费、五险一金、包吃包住、意外保险,负责护理助理工作，为患者提供专业的护理服务，确保患者安全和舒适。,学历要求：不限；年龄要求：35岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：康复护理、身体健康、营养配餐、血压测量；性别要求：不限；工作经验：10年以上,2025-08-26,黄雪,18069878813,shichao@example.org,湖北省柳县吉区东莞街H座 194463,智联招聘,招聘中,938,49
2974,重症护理员,家政服务公司16,西宁,8000-10000元/月,初中,10年以上,白班,血压测量、责任心强、沟通技巧、康复护理,培训机会、餐补、年终奖、节日福利、交通补贴,为重症护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：不限；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：54岁以下；工作经验：不限；性别要求：不限；技能要求：吸痰护理、药物管理、生活护理、康复护理、伤口护理、安全防护,2025-08-23,陈敏,15596869158,xpeng@example.org,甘肃省健市黄浦六安路G座 454264,51job,已结束,114,48
2975,高级护理员,健康产业公司474,苏州,10000-12000元/月,护理专业优先,1-3年,临时,营养配餐、伤口护理、血糖监测,晋升空间、年终奖、带薪年假、意外保险、健康体检、绩效奖金,需要高级护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：1年以下；学历要求：护理专业优先；年龄要求：33岁以下,2025-09-07,徐想,13462164923,jie77@example.net,北京市汕尾县徐汇佛山路l座 133181,51job,已结束,62,20
2976,护理员,健康管理公司837,温州,10258元/月,初中,不限,长期,医疗护理、鼻饲护理、康复护理,健康体检、意外保险,在健康管理公司837担任护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：血压测量、耐心细心、吸痰护理、心理护理、康复护理；年龄要求：33岁以下；工作经验：不限,2025-09-13,刘辉,13714304173,zshao@example.net,江西省建国市东城陈路S座 415434,智联招聘,招聘中,99,40
2977,高级护理员,养老院545,深圳,15000-20000元/月,本科,不限,长期,基础护理、康复护理、伤口护理、血糖监测,绩效奖金、培训机会、带薪年假、五险一金、加班费,招聘高级护理员，工作地点在深圳，要求身体健康，有爱心，能吃苦耐劳。,学历要求：高中；性别要求：女；技能要求：有爱心、基础护理、耐心细心、无传染病、生活护理、营养配餐、沟通技巧；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：50岁以下,2025-09-01,陈玲,18957751070,qcai@example.com,浙江省梧州市和平金街i座 964396,Boss直聘,已暂停,894,48
2978,老年护理员,健康产业公司158,济南,4000-5000元/月,初中,5-10年,白班,安全防护、吃苦耐劳、鼻饲护理、医疗护理、身体健康、血糖监测、康复护理,包吃包住、住宿补贴、五险一金、健康体检,负责老年护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：本科；年龄要求：44岁以下,2025-08-22,谢志强,14512848977,tao82@example.net,北京市萍市东城白街W座 649899,拉勾网,已暂停,15,13
2979,重症护理员,护理站911,深圳,3706元/月,中专,1年以下,实习,心理护理、有爱心、药物管理、耐心细心、鼻饲护理、导尿护理、营养配餐,带薪年假、交通补贴,在护理站911担任重症护理员，负责日常护理工作，具备良好的沟通能力和责任心。,其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：10年以上；年龄要求：30岁以下；技能要求：基础护理、责任心强、血糖监测、生活护理、营养配餐、有爱心,2025-09-15,贾玉珍,18127110382,xugang@example.org,黑龙江省瑜县六枝特孙街A座 687189,拉勾网,招聘中,622,2
2980,护工,康复中心631,长春,6302元/月,初中,不限,全职,安全防护、导尿护理、心理护理、体位护理,晋升空间、交通补贴、健康体检,为护工岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：41岁以下；性别要求：女,2025-08-28,江杰,15127327630,fengna@example.com,内蒙古自治区兴安盟县南湖陈街l座 991323,智联招聘,已暂停,145,32
2981,居家护理员,健康产业公司111,北京,4478元/月,高中,1-3年,全职,按摩技能、体位护理、吃苦耐劳,晋升空间、加班费、培训机会、节日福利、意外保险,需要居家护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,技能要求：心理护理、无传染病、生活护理、吃苦耐劳、责任心强、翻身护理、康复护理、急救技能；学历要求：高中；年龄要求：55岁以下,2025-09-05,刘玉兰,18896888558,naqiu@example.net,海南省南昌市沈河南京路i座 497736,Boss直聘,招聘中,270,27
2982,养老护理员,养老院506,温州,3000-4000元/月,大专,5-10年,白班,血糖监测、安全防护、生活护理、营养配餐、导尿护理、有爱心,交通补贴、节日福利、住宿补贴、年终奖、生日福利、绩效奖金,为养老护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,年龄要求：30岁以下；性别要求：男；技能要求：血压测量、心理护理、鼻饲护理、血糖监测、有爱心、营养配餐,2025-09-01,姚斌,14503811733,xiuying09@example.org,湖北省秀兰市六枝特刘街u座 630062,51job,已暂停,272,8
2983,病患护理员,健康管理公司152,南昌,12000-15000元/月,中专,不限,临时,伤口护理、营养配餐、血压测量、无传染病、血糖监测、身体健康,五险一金、节日福利、交通补贴、包吃包住、加班费,招聘病患护理员，工作地点在南昌，要求身体健康，有爱心，能吃苦耐劳。,其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：血糖监测、身体健康、医疗护理、吸痰护理、无传染病、责任心强、急救技能、耐心细心；工作经验：1年以下；年龄要求：41岁以下；性别要求：女,2025-09-08,梁斌,15789607849,hyin@example.net,辽宁省长沙市西峰郝路F座 388962,智联招聘,已暂停,816,3
2984,护工,健康管理公司514,北京,6000-8000元/月,高中,1年以下,兼职,沟通技巧、安全防护、翻身护理,生日福利、健康体检、年终奖、节日福利、意外保险、餐补,需要护工，负责照顾患者日常生活，协助医疗护理，提供专业服务。,技能要求：吃苦耐劳、无传染病、基础护理、有爱心、身体健康、体位护理、药物管理、沟通技巧；学历要求：本科；性别要求：男；工作经验：5-10年；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-25,杨洁,14561778943,gangwang@example.com,吉林省长沙县金平余路I座 378833,Boss直聘,已暂停,132,14
2985,居家护理员,社区卫生服务中心506,西安,25000-30000元/月,护理专业优先,3-5年,临时,伤口护理、营养配餐、吸痰护理、康复护理、安全防护、有爱心,培训机会、餐补,在社区卫生服务中心506担任居家护理员，负责日常护理工作，具备良好的沟通能力和责任心。,工作经验：3-5年；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：药物管理、生活护理、体位护理、按摩技能、营养配餐、伤口护理、责任心强、康复护理；性别要求：不限；年龄要求：58岁以下；学历要求：本科,2025-08-29,王芳,15937665821,uyi@example.net,山西省萍县西峰陈街E座 101319,猎聘网,已暂停,664,43
2986,护理助理,医疗护理公司521,济南,12000-15000元/月,中专,5-10年,夜班,吃苦耐劳、鼻饲护理、沟通技巧、按摩技能、基础护理、无传染病、翻身护理,生日福利、绩效奖金、健康体检,招聘护理助理，工作地点在济南，要求身体健康，有爱心，能吃苦耐劳。,技能要求：身体健康、急救技能、体位护理；学历要求：大专；年龄要求：45岁以下,2025-09-06,刘伟,18715182595,lei92@example.net,山西省海口县丰都梧州街e座 321078,猎聘网,已结束,176,17
2987,老年护理员,医疗科技公司558,杭州,13615元/月,本科,5-10年,长期,按摩技能、药物管理、吃苦耐劳、耐心细心、急救技能、营养配餐、有爱心、沟通技巧,意外保险、加班费、晋升空间、住宿补贴,需要老年护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：不限；技能要求：生活护理、血糖监测、心理护理、鼻饲护理、耐心细心、安全防护；学历要求：大专；工作经验：1年以下；年龄要求：29岁以下,2025-09-11,王瑞,13952249538,fengjun@example.com,吉林省成都市城北通辽路V座 938960,Boss直聘,已结束,621,5
2988,术后护理员,家政服务公司413,杭州,20000-25000元/月,本科,10年以上,临时,药物管理、责任心强、基础护理,住宿补贴、加班费、健康体检、生日福利、意外保险,需要术后护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,年龄要求：60岁以下；技能要求：翻身护理、有爱心、血糖监测、安全防护、沟通技巧、康复护理、急救技能；性别要求：男；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：不限,2025-09-17,冼秀芳,15604335743,hanyong@example.com,青海省永安市山亭永安街q座 658305,拉勾网,招聘中,268,24
2989,残疾人护理员,康复中心213,常州,12000-15000元/月,大专,3-5年,兼职,体位护理、医疗护理、有爱心、基础护理、鼻饲护理、营养配餐、翻身护理、耐心细心,五险一金、生日福利、年终奖,在康复中心213担任残疾人护理员，负责日常护理工作，具备良好的沟通能力和责任心。,年龄要求：43岁以下；技能要求：导尿护理、心理护理、鼻饲护理、血压测量、药物管理、安全防护、伤口护理；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：不限；学历要求：中专；工作经验：5-10年,2025-09-08,谭婷婷,15028525940,chaoqian@example.org,安徽省深圳市沈北新田街x座 356644,拉勾网,已结束,749,39
2990,高级护理员,养老院567,温州,15000-20000元/月,高中,5-10年,夜班,安全防护、伤口护理、责任心强、基础护理、药物管理,交通补贴、意外保险、绩效奖金、节日福利、餐补,在养老院567担任高级护理员，负责日常护理工作，具备良好的沟通能力和责任心。,工作经验：1-3年；技能要求：伤口护理、营养配餐、安全防护、基础护理、身体健康；学历要求：本科；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：26岁以下；性别要求：不限,2025-09-16,王建军,18699865505,wangjun@example.net,重庆市海口县大兴福州路j座 409448,猎聘网,已结束,186,11
2991,老年护理员,健康产业公司482,成都,8792元/月,初中,10年以上,兼职,心理护理、吸痰护理、翻身护理、吃苦耐劳,绩效奖金、餐补,需要老年护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,工作经验：不限；性别要求：男；学历要求：护理专业优先,2025-08-31,陈金凤,18093357451,jingzhang@example.org,湖北省秀英市涪城海口街I座 280885,智联招聘,招聘中,32,15
2992,术后护理员,医疗集团143,南京,4000-5000元/月,不限,1年以下,兼职,营养配餐、按摩技能、耐心细心、有爱心、身体健康、血压测量,交通补贴、绩效奖金,招聘术后护理员，工作地点在南京，要求身体健康，有爱心，能吃苦耐劳。,年龄要求：29岁以下；工作经验：1-3年；学历要求：本科；技能要求：翻身护理、伤口护理、无传染病；性别要求：不限,2025-08-26,曾彬,14564332520,weiliu@example.org,江西省东莞市朝阳李街Q座 665491,51job,已结束,67,4
2993,高级护理员,康复中心288,深圳,20049元/月,不限,1-3年,兼职,翻身护理、安全防护、康复护理、心理护理、体位护理,绩效奖金、培训机会、健康体检、生日福利、住宿补贴、加班费,招聘高级护理员，工作地点在深圳，要求身体健康，有爱心，能吃苦耐劳。,学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：药物管理、生活护理、翻身护理、吃苦耐劳、医疗护理,2025-09-18,岳超,13282789858,ofeng@example.net,湖北省宁县朝阳济南街b座 423433,智联招聘,已结束,561,10
2994,重症护理员,养老服务公司675,石家庄,27989元/月,大专,10年以上,短期,身体健康、安全防护、医疗护理、有爱心、血糖监测、心理护理,餐补、意外保险,负责重症护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,学历要求：不限；性别要求：男；工作经验：1-3年；年龄要求：52岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：安全防护、翻身护理、耐心细心、急救技能,2025-09-06,米宇,14557664253,kongtao@example.net,重庆市鑫市徐汇香港路y座 423661,猎聘网,已暂停,101,6
2995,残疾人护理员,家政服务公司762,广州,6000-8000元/月,中专,3-5年,全职,伤口护理、药物管理、耐心细心、沟通技巧、血压测量,交通补贴、住宿补贴,需要残疾人护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：男；年龄要求：45岁以下；工作经验：不限；技能要求：耐心细心、医疗护理、血压测量、沟通技巧、有爱心、体位护理；学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-31,刘杰,15991365482,yang54@example.org,浙江省辽阳县孝南谢街d座 766051,猎聘网,已结束,789,43
2996,医院护理员,医疗护理公司410,呼和浩特,12000-15000元/月,大专,3-5年,长期,翻身护理、生活护理、安全防护,年终奖、餐补、健康体检、意外保险、培训机会,需要医院护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：男；学历要求：初中；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：急救技能、体位护理、翻身护理、导尿护理、康复护理、安全防护、沟通技巧；工作经验：不限；年龄要求：54岁以下,2025-09-18,梁建平,15203424756,mayong@example.com,海南省军市城东西宁路Z座 285564,猎聘网,已暂停,685,12
